y_true,Concrete_Class,y_cb_standard,y_cb_group
43.9,30,42.71899735166439,41.63231961637522
48.9,30,48.6169721601766,47.82174467155376
45.8,30,45.78020706835912,43.77106811757449
50.8,30,50.58522167667916,47.42069959577518
40.9,30,40.257793255631455,38.452898701691865
46.8,30,46.92390638329973,45.604711095025884
44.9,30,44.7721395898855,42.96192667284569
52.0,30,51.96346902846437,48.295818757074
42.5,30,41.78587003620974,40.001631745845984
49.5,30,49.613619883841096,46.89991050091987
43.4,30,43.77212756879638,42.37596260936157
53.2,30,52.57843153485965,48.80090202741154
46.3,30,47.236252315589994,44.5959148405296
41.6,30,42.73493864002577,40.4286608614029
49.0,30,49.09049786759634,47.474749874724075
47.1,30,46.89563999707063,45.64359744693206
40.2,30,40.29739750705178,40.091045557963604
52.4,30,52.14255865877771,48.07309672461129
43.3,30,42.89523015352174,40.955111850828764
50.0,30,49.53505403425348,47.46555930884698
45.4,30,44.788953843224824,43.49498048311676
48.0,30,47.52658211537251,46.664685625172005
54.0,30,53.61735774539352,50.11562463073633
42.0,30,41.816331206659896,39.91891810692637
50.3,30,49.75764511368164,47.35458613146041
44.0,30,43.21636823420621,41.60243716493037
46.2,30,46.7003639669419,45.02982690892443
53.6,30,52.871426526179455,49.2025132306107
45.0,30,45.339860612803854,43.83442979921006
51.0,30,50.33114738968269,47.8681764216367
39.8,30,39.68216241618461,40.171682115231896
47.5,30,47.89260919025079,46.72905733217651
52.8,30,53.99784439280299,49.49072305063753
45.7,30,46.21313483928791,43.35830865455897
49.6,30,50.1456506307583,47.02802128708172
42.2,30,41.93654780784703,40.15439246303703
52.2,30,52.40276713179845,48.24327065973605
44.3,30,44.48524241867757,42.32268149813244
46.7,30,46.82423729788644,45.7246052690819
41.5,30,41.77907843822646,39.404692822964606
53.8,30,53.25371960249462,49.77061243970758
45.2,30,45.3737162461017,43.69224908380352
50.5,30,50.54715988838495,48.86931579232989
61.1,35,52.98725055309527,52.31082128272277
65.5,35,59.13936091311881,55.557983938994894
53.2,35,56.747162288591745,51.313393059127684
52.7,35,56.68426734250487,54.667490990608016
48.6,35,53.600112485439396,54.06624495560524
48.2,35,43.36466741373383,43.959493121874885
49.8,35,51.70968878435488,48.59807793634908
49.4,35,48.18439517303426,50.323714244017296
49.4,35,48.30532555072584,49.531267783794405
54.6,35,54.17430313253257,53.939248636455105
53.1,35,55.1455310494727,52.75162047371438
49.69,35,49.310445828741976,49.23926472661131
48.5,35,46.30181939943956,48.31665188226794
51.4,35,52.16796437494395,49.187365311833
54.6,35,55.37636610496635,50.890118631530854
52.0,35,51.098856259856795,50.438967326699704
54.3,35,53.04277065492799,49.323912986176694
