true_Strength_28d,true_Strength_7d,true_Slump_30,true_Slump_90,pred_Strength_28d,pred_Strength_7d,pred_Slump_30,pred_Slump_90,Concrete_Class
40.192,34.534,75,45,40.133148193359375,32.83705520629883,161.2628631591797,131.6994171142578,20
38.476,32.292,60,35,40.37712097167969,33.116764068603516,160.30393981933594,131.03463745117188,20
37.365,29.679,75,45,40.133148193359375,32.83705520629883,161.2628631591797,131.6994171142578,20
32.551,31.361,50,50,41.929039001464844,33.19190979003906,158.87770080566406,133.51193237304688,20
28.922,28.043,70,40,41.929039001464844,33.19190979003906,158.87770080566406,133.51193237304688,20
36.375,26.337,75,60,42.01191329956055,33.15562438964844,158.4849853515625,133.27178955078125,20
37.59,30.59,75,60,39.959808349609375,32.32069396972656,163.6316680908203,133.96441650390625,20
34.65,33.93,200,165,42.189109802246094,31.279251098632812,184.0877227783203,155.7257080078125,20
34.22,28.66,200,175,44.83988952636719,30.989988327026367,176.29368591308594,153.91363525390625,20
36.8,27.3,170,140,42.29714584350586,33.083126068115234,170.76480102539062,146.18380737304688,20
36.7,30.4,170,150,41.97315216064453,32.579437255859375,171.8596954345703,146.17030334472656,20
46.2,38.6,190,150,48.9448127746582,38.5616455078125,205.45343017578125,172.09466552734375,25
55.5,38.1,185,145,50.52787399291992,41.14145278930664,202.33920288085938,171.6126251220703,25
57.4,44.64,180,145,42.30603790283203,37.89521789550781,192.41952514648438,176.63369750976562,25
61.1,43.35,200,140,47.585506439208984,38.78999328613281,196.55322265625,178.0404052734375,25
60.2,45.06,190,110,44.32375717163086,38.37602996826172,194.42898559570312,181.64808654785156,25
55.7,42.4,190,140,43.69588088989258,37.70027160644531,191.67730712890625,170.87197875976562,25
57.3,45.2,195,140,43.579315185546875,37.7031364440918,194.422119140625,179.61068725585938,25
60.7,48.7,185,160,47.04592514038086,37.549495697021484,196.1419677734375,172.03048706054688,25
52.7,49.6,190,165,46.26461410522461,36.69487762451172,199.31307983398438,168.92543029785156,25
51.0,48.7,200,150,47.64207077026367,38.21450424194336,200.1585235595703,169.29568481445312,25
45.3,34.0,180,200,46.858680725097656,35.927703857421875,188.85702514648438,167.9867401123047,25
53.0,41.7,190,200,46.604576110839844,36.746028900146484,195.4578857421875,170.896240234375,25
45.5,38.6,200,180,47.842769622802734,36.89152526855469,190.20034790039062,173.67955017089844,25
45.5,37.8,145,140,46.08877182006836,35.53382110595703,194.47349548339844,171.07310485839844,25
37.9,26.4,190,170,46.27629852294922,36.2586784362793,193.56773376464844,167.98526000976562,25
38.8,30.2,200,180,47.91341781616211,38.302555084228516,197.3455352783203,168.98123168945312,25
47.1,37.5,170,180,48.739593505859375,36.324073791503906,189.4466552734375,173.3330078125,25
47.7,43.8,180,180,44.22876739501953,34.060359954833984,182.99713134765625,151.10401916503906,25
57.0,51.0,200,130,48.2884521484375,40.14623260498047,199.6788787841797,171.92564392089844,25
57.2,50.0,160,130,46.42207717895508,35.72126388549805,198.1973114013672,176.5302276611328,25
49.6,40.2,160,160,46.67964172363281,36.43052291870117,205.23728942871094,183.2498779296875,25
53.6,50.2,190,175,45.74708557128906,37.320377349853516,194.35049438476562,182.44822692871094,25
46.5,36.4,190,155,45.75136184692383,37.33142852783203,194.31903076171875,182.2754669189453,25
43.3,34.9,190,185,47.73439025878906,37.451011657714844,198.42999267578125,181.68931579589844,25
43.8,37.4,170,170,42.26505661010742,35.33810806274414,175.88931274414062,177.5028839111328,25
41.89,34.7,200,190,48.800445556640625,35.79590606689453,191.6202850341797,174.4029083251953,25
40.2,33.2,180,170,48.14842987060547,35.30595779418945,181.4549102783203,180.8826904296875,25
38.1,30.2,190,125,46.80565643310547,35.62348937988281,181.35714721679688,175.4860076904297,25
38.2,30.7,170,170,44.2502326965332,35.392398834228516,175.8040008544922,178.49874877929688,25
39.6,30.2,180,170,50.76144027709961,35.40687561035156,173.79937744140625,185.71656799316406,25
35.0,27.9,170,170,46.43510818481445,37.47571563720703,186.14935302734375,167.92129516601562,25
43.9,36.1,190,165,47.061710357666016,38.03058624267578,184.94570922851562,163.6002197265625,25
38.81,30.09,180,165,48.01010513305664,38.22509765625,190.23858642578125,173.84059143066406,25
42.0,31.9,185,175,47.196311950683594,34.527198791503906,187.6973876953125,166.86239624023438,25
27.0,20.7,180,160,46.421443939208984,35.853416442871094,197.2544708251953,169.91741943359375,25
45.0,34.8,200,170,46.25050354003906,36.5300407409668,201.8459930419922,168.5077362060547,25
36.1,33.4,185,160,46.3094596862793,36.672119140625,201.31394958496094,168.54579162597656,25
45.13333333333333,37.2,185,160,43.02073669433594,34.74537658691406,181.7349090576172,163.16273498535156,25
41.53333333333333,34.7,190,160,43.000221252441406,34.872093200683594,181.57725524902344,163.70758056640625,25
40.69,32.2,180,160,47.30833435058594,37.111087799072266,201.37420654296875,164.31979370117188,25
38.6,34.8,185,163,48.162960052490234,39.399452209472656,212.20213317871094,171.454833984375,25
45.7,36.5,183,80,45.56599807739258,36.1924934387207,196.8155517578125,171.6270751953125,25
39.01,26.7,188,165,45.73906326293945,36.51811981201172,193.92068481445312,167.8147735595703,25
48.85,34.4,181,54,45.654903411865234,36.624507904052734,195.14788818359375,167.740966796875,25
42.91,37.61,180,155,46.071815490722656,37.376731872558594,191.68463134765625,175.3675994873047,25
30.1,24.75,173,155,47.54254913330078,39.16997146606445,195.48037719726562,180.17730712890625,25
47.92,38.26,200,156,47.847412109375,38.105926513671875,190.3277130126953,173.67208862304688,25
39.68,30.86,190,190,48.36517333984375,39.2041130065918,204.8943328857422,175.80715942382812,25
